Trace,Exp,Core_0_IPC,Standardlized_IPC,LLC_prefetch_issued,LLC_prefetch_useful,LLC_average_miss latency,LLC_prefetch_acc,,Acc_improvement
bfs-10,nopref,0.20858,0.2692,,,,,,
bfs-10,spp,0.26862,0.34669,,,,,,
bfs-10,bingo,0.32793,0.42324,,,,,,
bfs-10,mlop,0.34084,0.4399,,,,,,
bfs-10,pythia,0.33214,0.42867,,,,,,
bfs-10,MPMLP(100M),0.35748,0.35748,7376371,2649175,142.639,35.91,,0.08716235
bfs-10,Classified.v5 MPMLP(100M-nseq),0.3606,0.3606,6824411,2662600,138.943,39.02,,
bfs-10,Classified.v5 MPMLP(100M-seq),0.36064,0.36064,6823890,2664226,138.984,39.04,,
sssp-5,nopref,0.25852,0.33655,,,,,,
sssp-5,spp,0.28659,0.37309,,,,,,
sssp-5,bingo,0.27678,0.36032,,,,,,
sssp-5,mlop,0.29138,0.37932,,,,,,
sssp-5,pythia,0.3158,0.41111,,,,,,
sssp-5,MPMLP(10M),0.38959,0.38959,22875245,3273073,186.4,14.31,,0.339622642
sssp-5,Classified.v5 MPMLP(10M-nseq),0.37962,0.37962,12009699,2302239,172.659,19.17,,
sssp-5,Classified.v5 MPMLP(10M-seq),0.38021,0.38021,12140947,2309769,172.48,19.02,,
459.GemsFDTD-s1,nopref,0.30614,0.43868,,,,,,
459.GemsFDTD-s1,spp,0.66625,0.9547,,,,,,
459.GemsFDTD-s1,bingo,0.70103,1.00454,,,,,,
459.GemsFDTD-s1,mlop,0.73554,1.05399,,,,,,
459.GemsFDTD-s1,pythia,0.67987,0.97422,,,,,,
459.GemsFDTD-s1,MPMLP(10M),0.73753,0.73753,15965699,6015683,340.139,37.68,,0.058651805
459.GemsFDTD-s1,Classified.v5 MPMLP(10M-nseq),0.75805,0.75805,15036716,5996521,336.384,39.88,,
459.GemsFDTD-s1,Classified.v5 MPMLP(10M-seq),0.75738,0.75738,15032218,5996673,336.113,39.89,,
470.lbm-s1,nopref,0.4513,0.60466,,,,,,
470.lbm-s1,spp,0.59979,0.80361,,,,,,
470.lbm-s1,bingo,0.613,0.82131,,,,,,
470.lbm-s1,mlop,0.59828,0.80159,,,,,,
470.lbm-s1,pythia,0.59327,0.79488,,,,,,
470.lbm-s1,MPMLP(10M),0.76636,0.76636,4488659,1943644,647.44,43.3,,0.000461894
470.lbm-s1,Classified.v5 MPMLP(10M-nseq),0.76593,0.76593,4488659,1943985,647.032,43.31,,
470.lbm-s1,Classified.v5 MPMLP(10M-seq),0.76583,0.76583,4488526,1944352,647.103,43.32,,
471.omnetpp-s2,nopref,0.35404,0.44453,,,,,,
471.omnetpp-s2,spp,0.35951,0.4514,,,,,,
471.omnetpp-s2,bingo,0.343,0.43067,,,,,,
471.omnetpp-s2,mlop,0.35467,0.44532,,,,,,
471.omnetpp-s2,pythia,0.3629,0.45565,,,,,,
471.omnetpp-s2,MPMLP(10M),0.43316,0.43316,15119169,998910,164.013,6.61,,0.295007564
471.omnetpp-s2,Classified MPMLP(10M),0.43322,0.43322,15061966,987411,163.452,6.56,,
471.omnetpp-s2,Classified.v4 MPMLP(10M),0.43311,0.43311,15071828,992046,163.913,6.58,,
471.omnetpp-s2,Classified.v5 MPMLP(10M-nseq),0.42939,0.42939,2750764,235417,146.04,8.56,,
471.omnetpp-s2,Classified.v5 MPMLP(10M-seq),0.42869,0.42869,2837702,239810,145.973,8.45,,
482.sphinx3-s0,nopref,0.80591,0.66152,,,,,,
482.sphinx3-s0,spp,1.01918,0.83658,,,,,,
482.sphinx3-s0,bingo,1.18121,0.96958,,,,,,
482.sphinx3-s0,mlop,0.93819,0.7701,,,,,,
482.sphinx3-s0,pythia,1.22768,1.00773,,,,,,
482.sphinx3-s0,MPMLP(10M),1.07772,1.07772,7323481,2800252,162.66,38.24,,0.002353556
482.sphinx3-s0,Classified MPMLP(10M),1.07478,1.07478,7322155,2790885,162.988,38.12,,
482.sphinx3-s0,Classified.v4 MPMLP(10M),1.01552,1.01552,7106774,2686599,164.156,37.8,,
482.sphinx3-s0,Classified.v5 MPMLP(10M-nseq),1.07535,1.07535,7231418,2772112,153.934,38.33,,
482.sphinx3-s0,Classified.v5 MPMLP(10M-seq),1.07664,1.07664,7231531,2766453,151.968,38.26,,
605.mcf-s8,nopref,0.21534,0.28716,,,,,,
605.mcf-s8,spp,0.21983,0.29315,,,,,,
605.mcf-s8,bingo,0.19338,0.25788,,,,,,
605.mcf-s8,mlop,0.21798,0.29068,,,,,,
605.mcf-s8,pythia,0.21803,0.29075,,,,,,
605.mcf-s8,MPMLP(10M),0.26894,0.26894,13940635,643987,219.424,4.62,,1.177489177
605.mcf-s8,MPMLP(100M),0.28245,0.28245,10363139,374245,267.968,3.61,,
605.mcf-s8,Classified MPMLP(10M),0.26926,0.26926,13940091,623235,219.832,4.47,,
605.mcf-s8,Classified.v4 MPMLP(10M),0.26647,0.26647,13940649,509719,221.53,3.66,,
605.mcf-s8,Classified.v5 MPMLP(100M-nseq),0.28867,0.28867,1650605,165640,180.198,10.04,,
605.mcf-s8,Classified.v5 MPMLP(100M-seq),0.28872,0.28872,1651311,166122,180.199,10.06,,
623.xalancbmk-s1,nopref,0.70111,0.76238,,,,,,
623.xalancbmk-s1,spp,0.67959,0.73898,,,,,,
623.xalancbmk-s1,bingo,0.95733,1.04099,,,,,,
623.xalancbmk-s1,mlop,0.91591,0.99595,,,,,,
623.xalancbmk-s1,pythia,0.94745,1.03025,,,,,,
623.xalancbmk-s1,MPMLP(10M),1.10664,1.10664,7882204,3609161,92.5366,45.79,,0.021838829
623.xalancbmk-s1,Classified MPMLP(10M),1.10604,1.10604,7882245,3607861,92.5862,45.77,,
623.xalancbmk-s1,Classified.v4 MPMLP(10M),0.97648,0.97648,7885962,2874216,85.7477,36.45,,
623.xalancbmk-s1,Classified.v5 MPMLP(10M-nseq),1.10371,1.10371,7870405,3682566,92.0941,46.79,,
623.xalancbmk-s1,Classified.v5 MPMLP(100M-nseq),0.92802,0.92802,4455512,2084348,88.3834,46.78,,
623.xalancbmk-s1,Classified.v5 MPMLP(10M-seq),1.10371,1.10371,7870392,3682365,92.1013,46.79,,
623.xalancbmk-s1,Classified.v5 MPMLP(100M-seq),0.92802,0.92802,4455516,2084202,88.3873,46.78,,
649.fotonik3d-s1,nopref,0.5456,0.61059,,,,,,
649.fotonik3d-s1,spp,1.15621,1.29393,,,,,,
649.fotonik3d-s1,bingo,1.21888,1.36406,,,,,,
649.fotonik3d-s1,mlop,1.26158,1.41185,,,,,,
649.fotonik3d-s1,pythia,1.19613,1.3386,,,,,,
