Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
gap-bc-0.trace.gz,nopref,0.12169,2563128,2062973,26797,473358,1
gap-bc-0.trace.gz,spp,0.12328,2856039,2082296,25569,514760,1
gap-bc-0.trace.gz,bingo,0.119,15263820,1992001,28198,933324,1
gap-bc-0.trace.gz,mlop,0.1228,4259669,2118975,27155,629608,1
gap-bc-0.trace.gz,pythia,0.13044,4909880,1929010,28125,647038,1
gap-bc-3.trace.gz,nopref,0.14529,2295581,1867208,25920,402453,1
gap-bc-3.trace.gz,spp,0.1482,2626774,1890482,24965,440584,1
gap-bc-3.trace.gz,bingo,0.13387,14342850,2044216,28485,772258,1
gap-bc-3.trace.gz,mlop,0.14608,4318010,1958938,26043,523149,1
gap-bc-3.trace.gz,pythia,0.15492,4204958,1770531,28288,498086,1
gap-bc-5.trace.gz,nopref,0.17598,2379832,2060632,25674,293526,1
gap-bc-5.trace.gz,spp,0.17726,2625919,2073239,23926,318244,1
gap-bc-5.trace.gz,bingo,0.14449,14294543,2020673,26257,953857,1
gap-bc-5.trace.gz,mlop,0.17325,3527567,2090696,25288,435836,1
gap-bc-5.trace.gz,pythia,0.17799,4931240,1937027,26384,633278,1
gap-bc-12.trace.gz,nopref,0.11267,2523329,2078076,25783,419470,1
gap-bc-12.trace.gz,spp,0.11357,2775945,2097472,24150,461459,1
gap-bc-12.trace.gz,bingo,0.10695,16542556,2111023,26777,1043774,1
gap-bc-12.trace.gz,mlop,0.11295,3859149,2134557,26011,583464,1
gap-bc-12.trace.gz,pythia,0.11795,5006232,2009400,26796,638293,1
gap-bfs-3.trace.gz,nopref,0.16282,990991,897827,6687,86477,1
gap-bfs-3.trace.gz,spp,0.21128,1049554,399663,6759,4020,1
gap-bfs-3.trace.gz,bingo,0.26173,2317506,117849,6695,96038,1
gap-bfs-3.trace.gz,mlop,0.26618,2244479,103032,6685,7013,1
gap-bfs-3.trace.gz,pythia,0.25753,1491705,197419,6685,86236,1
gap-bfs-8.trace.gz,nopref,0.20465,953904,863586,16816,73502,1
gap-bfs-8.trace.gz,spp,0.26204,1050303,433119,16875,8072,1
gap-bfs-8.trace.gz,bingo,0.30105,2908516,216891,19202,95170,1
gap-bfs-8.trace.gz,mlop,0.30947,1955706,237700,16924,13433,1
gap-bfs-8.trace.gz,pythia,0.301,1401990,286360,16926,84465,1
gap-bfs-10.trace.gz,nopref,0.20858,766531,705083,6353,55095,1
gap-bfs-10.trace.gz,spp,0.26862,840126,326292,6340,4451,1
gap-bfs-10.trace.gz,bingo,0.32793,1640210,82197,6349,58954,1
gap-bfs-10.trace.gz,mlop,0.34084,1597981,69957,6326,5754,1
gap-bfs-10.trace.gz,pythia,0.33214,1162921,132947,6349,62824,1
gap-bfs-14.trace.gz,nopref,0.15492,1059309,965330,8267,85712,1
gap-bfs-14.trace.gz,spp,0.2049,1153624,349946,9967,3742,1
gap-bfs-14.trace.gz,bingo,0.24241,2345858,126880,10063,94012,1
gap-bfs-14.trace.gz,mlop,0.24532,2258976,112643,8300,7200,1
gap-bfs-14.trace.gz,pythia,0.23492,1480623,209933,9259,82928,1
gap-cc-5.trace.gz,nopref,0.21327,846710,846292,0,418,1
gap-cc-5.trace.gz,spp,0.22684,1166551,863187,0,562,1
gap-cc-5.trace.gz,bingo,0.17292,12613644,1380065,0,81373,1
gap-cc-5.trace.gz,mlop,0.2333,1070899,834904,0,609,1
gap-cc-5.trace.gz,pythia,0.23627,1841915,814468,0,1782,1
gap-cc-6.trace.gz,nopref,0.15458,935462,935055,0,407,1
gap-cc-6.trace.gz,spp,0.16098,1280331,951801,0,506,1
gap-cc-6.trace.gz,bingo,0.1322,15504591,1509266,0,92073,1
gap-cc-6.trace.gz,mlop,0.16507,1182915,921051,0,662,1
gap-cc-6.trace.gz,pythia,0.16764,2109895,914621,0,491,1
gap-cc-13.trace.gz,nopref,0.16918,891301,890878,0,423,1
gap-cc-13.trace.gz,spp,0.17632,1245574,914133,0,669,1
gap-cc-13.trace.gz,bingo,0.14296,14528003,1437851,0,91029,1
gap-cc-13.trace.gz,mlop,0.18137,1128809,879146,0,711,1
gap-cc-13.trace.gz,pythia,0.18378,2046609,867436,0,2592,1
gap-cc-14.trace.gz,nopref,0.19117,862804,862403,0,401,1
gap-cc-14.trace.gz,spp,0.20111,1189173,881621,0,522,1
gap-cc-14.trace.gz,bingo,0.1578,13530911,1416477,0,87187,1
gap-cc-14.trace.gz,mlop,0.20695,1092641,850454,0,643,1
gap-cc-14.trace.gz,pythia,0.20949,1891082,836122,0,969,1
gap-pr-3.trace.gz,nopref,0.05955,2480746,2455781,8734,16231,1
gap-pr-3.trace.gz,spp,0.0541,3437936,2516647,8734,10351,1
gap-pr-3.trace.gz,bingo,0.0422,46824635,3423266,8734,14006,1
gap-pr-3.trace.gz,mlop,0.05427,3125952,2373348,8734,9911,1
gap-pr-3.trace.gz,pythia,0.05484,5758432,2302747,8734,15819,1
gap-pr-5.trace.gz,nopref,0.04884,3532629,3505643,8734,18252,1
gap-pr-5.trace.gz,spp,0.04663,4401479,3386956,8734,10393,1
gap-pr-5.trace.gz,bingo,0.03614,61080356,4456875,8734,11898,1
gap-pr-5.trace.gz,mlop,0.04678,4010368,3229497,8734,10000,1
gap-pr-5.trace.gz,pythia,0.04563,7906246,3422144,8734,14766,1
gap-pr-10.trace.gz,nopref,0.05621,2788213,2763993,8733,15487,1
gap-pr-10.trace.gz,spp,0.05144,3713146,2804244,8734,10305,1
gap-pr-10.trace.gz,bingo,0.04229,46797804,3481041,8734,13464,1
gap-pr-10.trace.gz,mlop,0.05159,3423284,2666640,8733,9923,1
gap-pr-10.trace.gz,pythia,0.05268,6455067,2579501,8733,14514,1
gap-pr-14.trace.gz,nopref,0.05552,2793483,2766352,8734,18397,1
gap-pr-14.trace.gz,spp,0.0516,3619397,2729996,8734,11249,1
gap-pr-14.trace.gz,bingo,0.03895,53277888,3915785,8734,16161,1
gap-pr-14.trace.gz,mlop,0.05174,3357652,2600241,8734,9941,1
gap-pr-14.trace.gz,pythia,0.05085,6502470,2710422,8734,18688,1
gap-sssp-3.trace.gz,nopref,0.25601,876591,787941,58593,30057,1
gap-sssp-3.trace.gz,spp,0.28487,1261619,765748,55289,35510,1
gap-sssp-3.trace.gz,bingo,0.28189,7064285,727674,69085,188898,1
gap-sssp-3.trace.gz,mlop,0.28806,1176196,751509,56403,32753,1
gap-sssp-3.trace.gz,pythia,0.318,1894314,571565,60751,64956,1
gap-sssp-5.trace.gz,nopref,0.25852,855685,776304,56805,22576,1
gap-sssp-5.trace.gz,spp,0.28659,1231494,754873,54007,29116,1
gap-sssp-5.trace.gz,bingo,0.27678,7396058,763948,68784,189726,1
gap-sssp-5.trace.gz,mlop,0.29138,1148835,736257,55642,25045,1
gap-sssp-5.trace.gz,pythia,0.3158,1845580,594809,59949,52040,1
gap-sssp-10.trace.gz,nopref,0.25694,871877,786595,59163,26119,1
gap-sssp-10.trace.gz,spp,0.28502,1238842,764687,55831,32811,1
