*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  3 2025 20:54:34
*************************************************
parsing config file: /home/zir/Pythia/config/pythia.ini

trace_0 /home/zir/ChampSim/ML-DPC/ChampSimTraces/spec06/473.astar-s0.trace.gz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 10000000
simulation_instructions 50000000
champsim_seed 163
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000002 cycles:     682525 heartbeat IPC: 1.46515 cumulative IPC: 1.46515 (Simulation time: 0 hr 0 min 1 sec) 
Heartbeat CPU  0 instructions:    2000003 cycles:    1357477 heartbeat IPC: 1.48159 cumulative IPC: 1.47332 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    2015184 heartbeat IPC: 1.52043 cumulative IPC: 1.48870 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2670091 heartbeat IPC: 1.52693 cumulative IPC: 1.49808 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    3317769 heartbeat IPC: 1.54398 cumulative IPC: 1.50704 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    3941562 heartbeat IPC: 1.60310 cumulative IPC: 1.52224 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    4576665 heartbeat IPC: 1.57454 cumulative IPC: 1.52950 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    5209729 heartbeat IPC: 1.57962 cumulative IPC: 1.53559 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    5853382 heartbeat IPC: 1.55363 cumulative IPC: 1.53757 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    6508886 heartbeat IPC: 1.52554 cumulative IPC: 1.53636 (Simulation time: 0 hr 0 min 14 sec) 

Warmup complete CPU  0 instructions:   10000001 cycles:    6508889 (Simulation time: 0 hr 0 min 14 sec) 

Heartbeat CPU  0 instructions:   11000003 cycles:    8709764 heartbeat IPC: 0.45437 cumulative IPC: 0.45437 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:   10932677 heartbeat IPC: 0.44986 cumulative IPC: 0.45210 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:   13142014 heartbeat IPC: 0.45262 cumulative IPC: 0.45228 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:   15375093 heartbeat IPC: 0.44781 cumulative IPC: 0.45115 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:   17639724 heartbeat IPC: 0.44157 cumulative IPC: 0.44920 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   19955174 heartbeat IPC: 0.43188 cumulative IPC: 0.44622 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:   22213873 heartbeat IPC: 0.44273 cumulative IPC: 0.44572 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:   24458865 heartbeat IPC: 0.44544 cumulative IPC: 0.44568 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:   26700597 heartbeat IPC: 0.44608 cumulative IPC: 0.44573 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   28945928 heartbeat IPC: 0.44537 cumulative IPC: 0.44569 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   21000003 cycles:   31236324 heartbeat IPC: 0.43661 cumulative IPC: 0.44485 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   33663234 heartbeat IPC: 0.41205 cumulative IPC: 0.44192 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   36053266 heartbeat IPC: 0.41840 cumulative IPC: 0.44002 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   38461917 heartbeat IPC: 0.41517 cumulative IPC: 0.43814 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   40609633 heartbeat IPC: 0.46561 cumulative IPC: 0.43987 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   42305109 heartbeat IPC: 0.58980 cumulative IPC: 0.44697 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   44058272 heartbeat IPC: 0.57040 cumulative IPC: 0.45274 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   45917191 heartbeat IPC: 0.53795 cumulative IPC: 0.45676 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   47728360 heartbeat IPC: 0.55213 cumulative IPC: 0.46095 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   49577342 heartbeat IPC: 0.54084 cumulative IPC: 0.46438 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   51408741 heartbeat IPC: 0.54603 cumulative IPC: 0.46771 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   53235854 heartbeat IPC: 0.54731 cumulative IPC: 0.47082 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   55087035 heartbeat IPC: 0.54020 cumulative IPC: 0.47346 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   56897112 heartbeat IPC: 0.55246 cumulative IPC: 0.47630 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   58713619 heartbeat IPC: 0.55051 cumulative IPC: 0.47888 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   60470739 heartbeat IPC: 0.56911 cumulative IPC: 0.48182 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   62298399 heartbeat IPC: 0.54715 cumulative IPC: 0.48396 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   64147162 heartbeat IPC: 0.54090 cumulative IPC: 0.48579 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   65949238 heartbeat IPC: 0.55492 cumulative IPC: 0.48788 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   67784321 heartbeat IPC: 0.54493 cumulative IPC: 0.48959 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   41000001 cycles:   69567490 heartbeat IPC: 0.56080 cumulative IPC: 0.49161 (Simulation time: 0 hr 1 min 17 sec) 
