*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  3 2025 20:54:34
*************************************************
parsing config file: /home/zir/Pythia/config/pythia.ini

trace_0 /home/zir/ChampSim/ML-DPC/ChampSimTraces/spec06/482.sphinx3-s1.trace.gz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 10000000
simulation_instructions 50000000
champsim_seed 164
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000003 cycles:     363751 heartbeat IPC: 2.74914 cumulative IPC: 2.74914 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:     876108 heartbeat IPC: 1.95176 cumulative IPC: 2.28282 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    3000001 cycles:    1345654 heartbeat IPC: 2.12972 cumulative IPC: 2.22940 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1709652 heartbeat IPC: 2.74727 cumulative IPC: 2.33966 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    2149410 heartbeat IPC: 2.27398 cumulative IPC: 2.32622 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    2685240 heartbeat IPC: 1.86626 cumulative IPC: 2.23444 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    3049198 heartbeat IPC: 2.74757 cumulative IPC: 2.29569 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3429293 heartbeat IPC: 2.63092 cumulative IPC: 2.33284 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    3944304 heartbeat IPC: 1.94171 cumulative IPC: 2.28177 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:    4318019 heartbeat IPC: 2.67584 cumulative IPC: 2.31588 (Simulation time: 0 hr 0 min 15 sec) 

Warmup complete CPU  0 instructions:   10000003 cycles:    4318019 (Simulation time: 0 hr 0 min 15 sec) 

Heartbeat CPU  0 instructions:   11000001 cycles:    4915755 heartbeat IPC: 1.67298 cumulative IPC: 1.67298 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5783513 heartbeat IPC: 1.15239 cumulative IPC: 1.36473 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:    6372825 heartbeat IPC: 1.69689 cumulative IPC: 1.45999 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:    6950908 heartbeat IPC: 1.72986 cumulative IPC: 1.51924 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    7826353 heartbeat IPC: 1.14228 cumulative IPC: 1.42518 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    8417751 heartbeat IPC: 1.69090 cumulative IPC: 1.46351 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   17000000 cycles:    8980353 heartbeat IPC: 1.77746 cumulative IPC: 1.50139 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   18000002 cycles:    9840337 heartbeat IPC: 1.16281 cumulative IPC: 1.44867 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:   10430900 heartbeat IPC: 1.69330 cumulative IPC: 1.47230 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   10992154 heartbeat IPC: 1.78172 cumulative IPC: 1.49832 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:   12166566 heartbeat IPC: 0.85149 cumulative IPC: 1.40153 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   13117902 heartbeat IPC: 1.05115 cumulative IPC: 1.36365 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   23000000 cycles:   13747624 heartbeat IPC: 1.58800 cumulative IPC: 1.37864 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   14300507 heartbeat IPC: 1.80870 cumulative IPC: 1.40246 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   15105150 heartbeat IPC: 1.24279 cumulative IPC: 1.39055 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   15719659 heartbeat IPC: 1.62732 cumulative IPC: 1.40331 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   27000001 cycles:   16270074 heartbeat IPC: 1.81681 cumulative IPC: 1.42235 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   17084454 heartbeat IPC: 1.22793 cumulative IPC: 1.40995 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   29000003 cycles:   17686524 heartbeat IPC: 1.66094 cumulative IPC: 1.42125 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   30000001 cycles:   18232344 heartbeat IPC: 1.83210 cumulative IPC: 1.43737 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   31000001 cycles:   19038858 heartbeat IPC: 1.23990 cumulative IPC: 1.42655 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   19629671 heartbeat IPC: 1.69258 cumulative IPC: 1.43681 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   20192593 heartbeat IPC: 1.77645 cumulative IPC: 1.44886 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   34000000 cycles:   20998166 heartbeat IPC: 1.24135 cumulative IPC: 1.43884 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:   35000003 cycles:   21575618 heartbeat IPC: 1.73175 cumulative IPC: 1.44864 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   22142436 heartbeat IPC: 1.76423 cumulative IPC: 1.45867 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   22963516 heartbeat IPC: 1.21791 cumulative IPC: 1.44807 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:   38000002 cycles:   23527129 heartbeat IPC: 1.77427 cumulative IPC: 1.45764 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   39000000 cycles:   24126332 heartbeat IPC: 1.66888 cumulative IPC: 1.46403 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   24966039 heartbeat IPC: 1.19089 cumulative IPC: 1.45292 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   41000001 cycles:   25528180 heartbeat IPC: 1.77891 cumulative IPC: 1.46156 (Simulation time: 0 hr 1 min 8 sec) 
