*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  3 2025 20:54:34
*************************************************
parsing config file: /home/zir/Pythia/config/pythia.ini

trace_0 /home/zir/ChampSim/ML-DPC/ChampSimTraces/spec17/619.lbm-s0.trace.xz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 10000000
simulation_instructions 50000000
champsim_seed 163
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.0065088
scooby_gamma 0.556301
scooby_epsilon 0.00182284
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,3,4,5,10,11,12,22,23,30,32,-1,-3,-6,0,
scooby_max_actions 15
scooby_pt_size 256
scooby_st_size 64
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -8
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 20
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -12
scooby_state_type 1
scooby_state_hash_type 11
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 0
scooby_reward_tracker_hit -2
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.5,1,2,
scooby_dyn_degrees 1,2,4,4,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,8,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 20
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -14
scooby_reward_hbw_none -2
scooby_reward_hbw_out_of_bounds -12
scooby_reward_hbw_tracker_hit -2
scooby_last_pref_offset_conf_thresholds_hbw 1,3,8,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 3,3,
le_featurewise_num_tiles 128,128,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000002 cycles:     411384 heartbeat IPC: 2.43082 cumulative IPC: 2.43082 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:     821143 heartbeat IPC: 2.44046 cumulative IPC: 2.43563 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    1247202 heartbeat IPC: 2.34710 cumulative IPC: 2.40539 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1677264 heartbeat IPC: 2.32524 cumulative IPC: 2.38484 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2101552 heartbeat IPC: 2.35689 cumulative IPC: 2.37919 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    2527699 heartbeat IPC: 2.34662 cumulative IPC: 2.37370 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    2953041 heartbeat IPC: 2.35104 cumulative IPC: 2.37044 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3376601 heartbeat IPC: 2.36094 cumulative IPC: 2.36925 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    3797417 heartbeat IPC: 2.37634 cumulative IPC: 2.37003 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    4207777 heartbeat IPC: 2.43688 cumulative IPC: 2.37655 (Simulation time: 0 hr 0 min 19 sec) 

Warmup complete CPU  0 instructions:   10000004 cycles:    4207778 (Simulation time: 0 hr 0 min 19 sec) 

Heartbeat CPU  0 instructions:   11000002 cycles:    6486285 heartbeat IPC: 0.43888 cumulative IPC: 0.43888 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    9242576 heartbeat IPC: 0.36281 cumulative IPC: 0.39723 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:   11886540 heartbeat IPC: 0.37822 cumulative IPC: 0.39069 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:   14575813 heartbeat IPC: 0.37185 cumulative IPC: 0.38580 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   15000001 cycles:   17171694 heartbeat IPC: 0.38523 cumulative IPC: 0.38569 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   19774970 heartbeat IPC: 0.38413 cumulative IPC: 0.38543 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:   22381074 heartbeat IPC: 0.38372 cumulative IPC: 0.38518 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:   24842076 heartbeat IPC: 0.40634 cumulative IPC: 0.38770 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   19000000 cycles:   27036559 heartbeat IPC: 0.45569 cumulative IPC: 0.39424 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   29320020 heartbeat IPC: 0.43793 cumulative IPC: 0.39821 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   21000003 cycles:   31882898 heartbeat IPC: 0.39019 cumulative IPC: 0.39747 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   34540933 heartbeat IPC: 0.37622 cumulative IPC: 0.39561 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   37170703 heartbeat IPC: 0.38026 cumulative IPC: 0.39438 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   39564135 heartbeat IPC: 0.41781 cumulative IPC: 0.39597 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   25000002 cycles:   42201163 heartbeat IPC: 0.37922 cumulative IPC: 0.39481 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   44691809 heartbeat IPC: 0.40150 cumulative IPC: 0.39522 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  0 instructions:   27000001 cycles:   47344037 heartbeat IPC: 0.37704 cumulative IPC: 0.39410 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   49602280 heartbeat IPC: 0.44282 cumulative IPC: 0.39652 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   29000001 cycles:   51650827 heartbeat IPC: 0.48815 cumulative IPC: 0.40048 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  0 instructions:   30000003 cycles:   53999959 heartbeat IPC: 0.42569 cumulative IPC: 0.40167 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   56511397 heartbeat IPC: 0.39818 cumulative IPC: 0.40150 (Simulation time: 0 hr 1 min 27 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   58802287 heartbeat IPC: 0.43651 cumulative IPC: 0.40297 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  0 instructions:   33000003 cycles:   61255353 heartbeat IPC: 0.40765 cumulative IPC: 0.40317 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   63609620 heartbeat IPC: 0.42476 cumulative IPC: 0.40403 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   35000003 cycles:   65799525 heartbeat IPC: 0.45664 cumulative IPC: 0.40590 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   68151383 heartbeat IPC: 0.42519 cumulative IPC: 0.40661 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   70742688 heartbeat IPC: 0.38591 cumulative IPC: 0.40580 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   38000001 cycles:   72932703 heartbeat IPC: 0.45662 cumulative IPC: 0.40742 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   74986430 heartbeat IPC: 0.48692 cumulative IPC: 0.40973 (Simulation time: 0 hr 1 min 52 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   77145952 heartbeat IPC: 0.46306 cumulative IPC: 0.41131 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  0 instructions:   41000003 cycles:   79430209 heartbeat IPC: 0.43778 cumulative IPC: 0.41211 (Simulation time: 0 hr 1 min 59 sec) 
